region_id,demand_value,supply_value,need_score,need_class,priority_rank
STATEWIDE TOTAL,1.0,1.0,1000.0,Needs Improvement,1.0
KINGS,0.14563575696513806,1.0,145.63575696513806,Needs Improvement,2.0
QUEENS,0.13329970519610657,1.0,133.29970519610657,Needs Improvement,3.0
NEW YORK,0.1013059421400435,1.0,101.3059421400435,Needs Improvement,4.0
BRONX,0.07929924579796838,1.0,79.29924579796838,Needs Improvement,5.0
SUFFOLK,0.07113449952137699,1.0,71.13449952137698,Needs Improvement,6.0
NASSAU,0.06450852975092497,1.0,64.50852975092496,Needs Improvement,7.0
WESTCHESTER,0.04585720724883819,1.0,45.85720724883819,Needs Improvement,8.0
ERIE,0.04238045092853314,1.0,42.380450928533136,Needs Improvement,9.0
MONROE,0.035888524078249745,1.0,35.888524078249745,Needs Improvement,10.0
RICHMOND,0.022812598446712257,1.0,22.812598446712258,Needs Improvement,11.0
ONONDAGA,0.021096849730358115,1.0,21.096849730358116,Needs Improvement,12.0
ORANGE,0.016632949965506186,1.0,16.632949965506185,Needs Improvement,13.0
ALBANY,0.014675443637287894,1.0,14.675443637287895,Needs Improvement,14.0
ROCKLAND,0.014345422756094793,1.0,14.345422756094793,Needs Improvement,15.0
DUTCHESS,0.013814107498982917,1.0,13.814107498982917,Needs Improvement,16.0
SARATOGA,0.010517892799875543,1.0,10.517892799875543,Needs Improvement,17.0
ONEIDA,0.010398402883564332,1.0,10.398402883564332,Needs Improvement,18.0
NIAGARA,0.009667550797758603,1.0,9.667550797758603,Balanced,19.0
BROOME,0.008983909244600708,1.0,8.983909244600708,Balanced,20.0
ULSTER,0.00844764829016057,1.0,8.44764829016057,Balanced,21.0
RENNSELAER,0.007436063846980349,1.0,7.436063846980349,Balanced,22.0
SCHENECTADY,0.00698353013633346,1.0,6.98353013633346,Balanced,23.0
CHAUTAUQUA,0.005858651939238081,1.0,5.858651939238081,Balanced,24.0
OSWEGO,0.005454797807045058,1.0,5.4547978070450585,Balanced,25.0
TOMPKINS,0.00538013176906728,1.0,5.3801317690672805,Balanced,26.0
ONTARIO,0.0049887123045644945,1.0,4.988712304564494,Supply Sufficient,27.0
JEFFERSON,0.004844850137044963,1.0,4.844850137044963,Supply Sufficient,28.0
ST. LAWRENCE,0.004805200926492389,1.0,4.805200926492389,Supply Sufficient,29.0
PUTNAM,0.004589171871555635,1.0,4.589171871555635,Supply Sufficient,30.0
WAYNE,0.004078930230839278,1.0,4.078930230839278,Supply Sufficient,31.0
STEUBEN,0.004049442741460925,1.0,4.0494427414609255,Supply Sufficient,32.0
CHEMUNG,0.00384271494956233,1.0,3.84271494956233,Supply Sufficient,33.0
CLINTON,0.0036593015526260814,1.0,3.6593015526260815,Supply Sufficient,34.0
CAYUGA,0.0035615524357505944,1.0,3.5615524357505945,Supply Sufficient,35.0
MADISON,0.003320344672822834,1.0,3.3203446728228343,Supply Sufficient,36.0
CATTARAUGUS,0.003245558280922025,1.0,3.245558280922025,Supply Sufficient,37.0
SULLIVAN,0.003235860146269227,1.0,3.2358601462692267,Supply Sufficient,38.0
LIVINGSTON,0.0028807939218852847,1.0,2.8807939218852847,Supply Sufficient,39.0
WARREN,0.002812885937623547,1.0,2.8128859376235473,Supply Sufficient,40.0
OTSEGO,0.0027435539215057265,1.0,2.7435539215057263,Supply Sufficient,41.0
WASHINGTON,0.0026871571440030685,1.0,2.6871571440030686,Supply Sufficient,42.0
COLUMBIA,0.002648707257751104,1.0,2.648707257751104,Supply Sufficient,43.0
HERKIMER,0.002641130735961828,1.0,2.6411307359618283,Supply Sufficient,44.0
GENESEE,0.002641059716128284,1.0,2.641059716128284,Supply Sufficient,45.0
FULTON,0.0024500680745081624,1.0,2.450068074508162,Supply Sufficient,46.0
FRANKLIN,0.0022610776633753818,1.0,2.261077663375382,Supply Sufficient,47.0
TIOGA,0.00218080133600563,1.0,2.18080133600563,Supply Sufficient,48.0
MONTGOMERY,0.002157241989561263,1.0,2.157241989561263,Supply Sufficient,49.0
CORTLAND,0.002143081510402649,1.0,2.143081510402649,Supply Sufficient,50.0
GREENE,0.0021286601126186064,1.0,2.1286601126186064,Supply Sufficient,51.0
ALLEGANY,0.002045509631601857,1.0,2.0455096316018566,Supply Sufficient,52.0
CHENANGO,0.0020384691861298843,1.0,2.0384691861298845,Supply Sufficient,53.0
DELAWARE,0.0019957768110485203,1.0,1.9957768110485203,Supply Sufficient,54.0
ORLEANS,0.0018997991266780406,1.0,1.8997991266780407,Supply Sufficient,55.0
WYOMING,0.0017924269473972175,1.0,1.7924269473972174,Supply Sufficient,56.0
ESSEX,0.0016936510043699725,1.0,1.6936510043699724,Supply Sufficient,57.0
SENECA,0.0015856834505823157,1.0,1.5856834505823156,Supply Sufficient,58.0
SCHOHARIE,0.001398831482017117,1.0,1.398831482017117,Supply Sufficient,59.0
